Total avoided impacts consider 2025 as baseline year,,,,,,,,,,,,
,,,,,,,,,,,,
GEM Unique ID,Unique plant name,Unit name,Location,Total avoided CO2 emissions (Mt),Total avoided deaths,Total avoided Work Loss Days (WLDs),Total investment (mn. USD),Economic spillover (mn. USD),Net permanent jobs created,Total temporary jobs created,Annual customer savings (mn USD),Savings per kWh (%)
L100000103182,Therma Visayas Energy Project,Unit 3,Philippines,33.87,"2,751","141,332",$575.3,$10.9,72,153,$44.2,46%
L100000103183,Toledo City power station,Unit 5,Philippines,16.20,"1,893","104,204",$273.7,$5.2,34,73,$24.6,50%
L100000103205,Zamboanga power station,--,Philippines,24.68,"2,439","127,852",$413.8,$7.9,53,111,$31.7,46%
L100000103195,Misamis Oriental power station,Unit 4,Philippines,27.77,"7,372","383,562",$444.2,$8.4,51,117,$37.4,48%
L100000103195,Misamis Oriental power station,Unit 5,Philippines,27.77,"7,372","383,562",$444.2,$8.4,51,117,$37.4,48%
L100000103571,Bangkok HSFC Plant power station,Unit 2R,Thailand,3.13,"22,263","1,261,023",$100.8,$1.9,10,27,$11.0,55%
L100000103582,Gheco One power station,Unit 1,Thailand,63.66,"2,250","109,834","$1,818.4",$34.6,171,478,$138.2,46%
L100000103583,Glow Energy power complex,unit 1,Thailand,3.69,387,"21,194",$234.2,$4.5,22,62,$18.9,47%
L100000103583,Glow Energy power complex,unit 2,Thailand,9.64,530,"27,568",$611.7,$11.6,57,161,$49.4,47%
L100000103583,Glow Energy power complex,unit CFB 3,Thailand,21.41,"1,178","61,262",$611.7,$11.6,57,161,$49.4,47%
L100000104674,IRPC power station,--,Thailand,32.57,998,"50,818",$849.3,$16.1,81,224,$68.1,47%
L100000103584,Map Ta Phut BLCP power station,Unit 1,Thailand,55.33,"1,459","70,468","$1,970.8",$37.4,183,518,$160.0,47%
L100000103584,Map Ta Phut BLCP power station,Unit 2,Thailand,58.78,"1,550","74,872","$1,970.8",$37.4,183,518,$160.0,47%
L100000103579,Tha Tum power station,Unit 1,Thailand,7.23,372,"19,332",$451.9,$8.6,42,119,$45.2,53%
L100000103579,Tha Tum power station,Unit 2,Thailand,7.23,372,"19,332",$451.9,$8.6,42,119,$45.2,53%
L100000103655,Yunus Emre power station,Unit 1,Turkiye,25.42,148,"7,503",$457.0,$8.7,48,119,$47.1,53%
L100000103687,Soma Kolin power station,Unit 1,Turkiye,40.76,"1,334","65,242",$810.5,$15.4,87,211,$80.2,52%
L100000103687,Soma Kolin power station,Unit 2,Turkiye,40.76,"1,334","65,242",$810.5,$15.4,87,211,$80.2,52%
L100000103635,Çan-2 power station,--,Turkiye,50.92,591,"28,466","$1,089.1",$20.7,128,289,$100.5,51%
L100000103636,Cenal power station,Unit 1,Turkiye,78.39,392,"19,150","$2,175.3",$41.3,255,577,$102.2,34%
L100000103636,Cenal power station,Unit 2,Turkiye,78.39,392,"19,150","$2,175.3",$41.3,255,577,$102.2,34%
L100000103610,Tufanbeyli power station,Unit 1,Turkiye,21.49,121,"6,116",$449.3,$8.5,40,114,$49.5,55%
L100000103610,Tufanbeyli power station,Unit 2,Turkiye,21.49,121,"6,116",$449.3,$8.5,40,114,$49.5,55%
L100000103610,Tufanbeyli power station,Unit 3,Turkiye,21.49,121,"6,116",$449.3,$8.5,40,114,$49.5,55%
L100000103725,ZETES power stations,Phase 1 Unit 1,Turkiye,18.10,884,"46,470",$558.9,$10.6,74,152,$29.0,37%
L100000103725,ZETES power stations,Phase 2 Unit 1,Turkiye,63.24,"1,760","85,433","$2,148.3",$40.8,285,585,$100.8,34%
L100000103627,Bolu Göynük power station,Unit 1,Turkiye,19.09,94,"4,758",$441.3,$8.4,51,117,$42.5,52%
L100000103627,Bolu Göynük power station,Unit 2,Turkiye,19.09,94,"4,758",$441.3,$8.4,51,117,$42.5,52%
L100000103710,Şırnak Silopi (CİNER) power station,Unit 1,Turkiye,14.14,"1,236","62,937",$401.3,$7.6,35,101,$44.8,55%
L100000103710,Şırnak Silopi (CİNER) power station,Unit 2,Turkiye,18.60,"1,626","82,812",$401.3,$7.6,35,101,$44.8,55%
L100000103641,İÇDAŞ Bekirli power station,Unit 1,Turkiye,64.78,425,"19,931","$1,988.0",$37.8,236,529,$170.1,49%
L100000104736,Eti Maden Bandirma power station,--,Turkiye,6.18,615,"33,349",$154.0,$2.9,18,41,$14.2,51%
L100000103669,İzdemir Enerji power station,Unit 1,Turkiye,45.66,851,"42,625","$1,115.3",$21.2,102,283,$75.2,43%
L100000103657,Atlas Enerji İskenderun power station,Unit 1,Turkiye,74.04,"4,541","220,803","$1,927.4",$36.6,212,505,$112.2,39%
L100000103657,Atlas Enerji İskenderun power station,Unit 2,Turkiye,74.04,"4,541","220,803","$1,927.4",$36.6,212,505,$112.2,39%
